,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Kudahuvadhoo,0,MV,1562984320,77,2.67,72.89,83.96,12.3
377,Coquimbo,0,CL,1562984320,87,-29.95,-71.34,51.8,4.7
378,Bella Union,82,CO,1562984321,87,8.5,-73.35,68.84,5.73
379,Dumas,75,IN,1562984321,83,21.09,72.71,82.4,4.7
380,Verkhniy Avzyan,91,RU,1562984321,63,53.53,57.54,70.28,4.72
381,Namatanai,100,PG,1562984321,79,-3.66,152.44,78.56,3.18
382,Progreso,75,UY,1562984322,100,-34.68,-56.22,51.01,3.36
383,Sinnai,0,IT,1562984322,73,39.3,9.2,73.4,9.17
384,Reynosa,90,MX,1562984322,58,26.07,-98.3,91.4,4.7
385,Scranton,40,US,1562984322,82,41.41,-75.66,70.0,2.48
386,Yarovoye,20,RU,1562984323,57,52.92,78.56,72.08,14.54
387,Terre-de-Bas,20,GP,1562984323,74,15.85,-61.64,80.6,5.82
388,Abyek,0,IR,1562984323,53,36.04,50.53,77.0,4.7
389,Vernon,75,CA,1562984123,32,50.27,-119.27,82.4,5.82
390,Atbasar,0,KZ,1562984323,50,51.81,68.36,71.72,11.21
391,Campo Grande,0,BR,1562984323,52,-20.46,-54.62,68.0,6.93
392,Banjarmasin,21,ID,1562984186,64,-3.32,114.59,84.32,11.83
393,Saint-Joseph,0,FR,1562984324,94,43.56,6.97,78.8,4.7
394,Tongren,100,CN,1562984324,98,27.72,109.18,67.4,0.98
395,Gobabis,0,NA,1562984324,33,-22.45,18.97,42.8,1.12
396,Avera,1,US,1562984324,78,33.19,-82.53,82.99,4.7
397,Luang Prabang,75,LA,1562984324,83,19.89,102.14,80.6,2.24
398,Palmer,40,AU,1562984325,76,-34.85,139.16,55.0,18.34
399,Ko Samui,20,TH,1562984325,70,9.54,99.94,87.8,6.93
400,Belmonte,48,PT,1562984325,90,40.36,-7.35,66.0,0.81
401,Taoudenni,0,ML,1562984325,10,22.68,-3.98,92.6,7.72
402,Bukachacha,30,RU,1562984325,26,52.99,116.91,83.06,6.93
403,Thinadhoo,60,MV,1562984326,76,0.53,72.93,84.14,13.71
404,Komsomolskiy,0,RU,1562984326,52,67.55,63.78,58.4,5.91
405,Springdale,1,US,1562984299,74,36.19,-94.13,78.8,3.36
406,Olga,1,US,1562984326,64,34.11,-118.17,91.0,5.82
407,Viedma,0,AR,1562984327,67,-40.81,-62.99,44.0,6.82
408,Puerto Escondido,90,MX,1562984327,70,15.86,-97.07,84.2,1.63
409,Novoagansk,100,RU,1562984327,73,61.94,76.66,66.86,5.39
410,West Plains,1,US,1562984327,74,36.73,-91.85,80.6,4.27
411,Vorukh,18,KG,1562984327,23,39.85,70.57,83.96,1.14
412,Pyaozerskiy,5,RU,1562984328,94,65.83,31.17,43.28,8.37
413,Manavalakurichi,40,IN,1562984328,83,8.13,77.3,80.6,4.7
414,Saint-Georges,8,CA,1562984033,86,46.12,-70.67,68.0,6.42
415,Dwarka,40,IN,1562984328,52,28.58,77.04,95.0,12.75
416,Southbridge,7,US,1562984328,64,42.08,-72.03,75.2,5.82
417,Hare Bay,75,CA,1562984329,81,48.86,-53.99,53.6,5.82
418,Okhotsk,75,RU,1562984329,67,59.36,143.24,67.76,12.55
419,Fort Frances,1,CA,1562984329,68,48.61,-93.4,68.0,8.05
420,Bandipur,93,IN,1562984329,80,11.67,76.63,70.28,2.75
421,Aleysk,0,RU,1562984330,63,52.5,82.77,70.28,15.23
422,Sarangani,100,PH,1562984330,76,5.4,125.46,80.18,5.99
423,Quatre Cocos,20,MU,1562984330,77,-20.21,57.76,64.99,4.7
424,Waitati,100,NZ,1562984330,67,-45.75,170.57,52.0,5.99
425,Sao Filipe,0,CV,1562984330,85,14.9,-24.5,72.26,17.4
426,Sorong,9,ID,1562984331,64,-0.86,131.25,81.08,13.24
427,Beisfjord,84,NO,1562984331,93,68.38,17.6,52.0,10.29
428,Rawson,0,AR,1562984331,64,-43.3,-65.11,43.64,11.88
429,Hailar,77,CN,1562984331,40,49.2,119.7,81.26,4.9
430,Rupert,40,US,1562984331,26,42.62,-113.68,84.2,6.93
431,Salta,90,AR,1562984331,77,-24.79,-65.41,62.6,4.7
432,San Francisco,6,CO,1562984080,97,1.17,-76.88,47.24,2.62
433,Gamba,96,CN,1562984332,59,28.28,88.52,46.88,5.35
434,Eyl,12,SO,1562984332,57,7.98,49.82,77.84,26.84
435,Bilibino,98,RU,1562984332,33,68.06,166.44,77.66,12.48
436,Conakry,75,GN,1562984333,94,9.52,-13.7,78.8,6.98
437,Kourou,20,GF,1562984333,94,5.16,-52.64,75.2,1.81
438,Arua,96,UG,1562984333,98,3.02,30.91,62.36,1.21
439,Sisimiut,100,GL,1562984333,89,66.94,-53.67,40.94,12.06
440,Timbuktu,11,ML,1562984334,45,16.77,-3.01,88.82,20.96
441,Skovorodino,80,RU,1562984334,29,53.99,123.94,91.52,1.03
442,Flin Flon,22,CA,1562984334,61,54.77,-101.88,64.16,6.58
443,Leon,1,US,1562984334,65,40.74,-93.75,82.4,5.82
444,Bouna,100,CI,1562984334,97,9.27,-3.0,70.1,5.12
445,Khromtau,0,KZ,1562984335,29,50.26,58.44,83.78,13.44
446,Casper,1,US,1562984119,21,42.87,-106.31,82.99,4.7
447,Mnogovershinnyy,89,RU,1562984335,61,53.94,139.92,69.38,4.74
448,Turka,100,RU,1562984335,100,52.95,108.22,46.16,12.39
449,Magadan,5,RU,1562984335,74,59.56,150.8,57.86,3.33
450,Bridgetown,82,AU,1562984335,93,-33.96,116.14,54.0,1.01
451,Lata,36,IN,1562984336,92,30.78,78.62,47.24,5.88
452,Aklavik,20,CA,1562984336,54,68.22,-135.01,55.4,2.24
453,Golden,1,US,1562984336,24,39.76,-105.22,81.0,11.41
454,Iqaluit,40,CA,1562984336,76,63.75,-68.52,51.8,5.82
455,Ketchikan,75,US,1562984336,63,55.34,-131.65,66.2,11.41
456,Virden,32,CA,1562984337,84,49.85,-100.93,62.54,3.13
457,Khorixas,0,NA,1562984337,51,-20.37,14.96,54.8,2.71
458,Karaj,40,IR,1562984337,19,35.81,51.01,86.0,6.93
459,Rosarito,40,CO,1562984337,88,4.91,-75.23,78.8,2.24
460,Jumla,91,NP,1562984337,86,29.28,82.18,59.48,2.35
461,Mahibadhoo,21,MV,1562984221,76,3.78,72.97,83.78,9.75
462,Malveira,40,PT,1562984338,93,38.93,-9.25,68.0,10.29
463,Adrar,0,DZ,1562984338,7,27.87,-0.29,93.2,10.29
464,Bathsheba,75,BB,1562984338,83,13.22,-59.52,80.6,14.99
465,Sistranda,75,NO,1562984338,87,63.73,8.83,53.01,8.05
466,Simplicio Mendes,0,BR,1562984338,68,-7.85,-41.91,71.9,6.85
467,Kabare,100,RW,1562984339,95,-1.65,29.38,55.52,0.51
468,Najran,5,SA,1562984339,17,17.54,44.22,89.6,11.41
469,Soissons,0,FR,1562984339,77,49.38,3.32,60.8,5.82
470,Olavarria,0,AR,1562984339,79,-36.89,-60.32,43.0,1.01
471,Ishigaki,75,JP,1562984339,74,24.34,124.16,87.8,18.34
472,Rafaela,62,AR,1562984340,68,-31.25,-61.49,54.0,1.99
473,Ambilobe,0,MG,1562984340,70,-13.19,49.05,67.04,7.87
474,Kasongo-Lunda,54,CD,1562984340,91,-6.48,16.82,60.56,2.13
475,West Wendover,1,US,1562984341,10,40.74,-114.07,98.6,11.41
476,Uyuni,0,BO,1562984341,24,-20.46,-66.82,39.5,8.48
477,Batticaloa,68,LK,1562984341,69,7.71,81.69,84.14,3.51
478,Labuhan,100,ID,1562984341,50,-2.54,115.51,88.1,0.83
479,Merauke,100,ID,1562984226,72,-8.49,140.4,77.66,17.05
480,Honiara,75,SB,1562984342,70,-9.43,159.96,87.8,11.41
481,Bhor,100,IN,1562984342,86,18.15,73.84,77.3,5.23
482,Ovre Ardal,0,NO,1562984342,75,61.32,7.8,46.7,2.08
483,Morant Bay,20,JM,1562984094,58,17.88,-76.41,84.2,21.92
484,Puerto Rico,94,CO,1562984342,97,1.91,-75.15,55.52,2.28
485,Papara,75,BR,1562984343,74,-3.98,-38.73,86.0,12.75
486,Murray Bridge,27,AU,1562984343,75,-35.12,139.28,54.0,5.99
487,Puerto del Rosario,32,ES,1562984343,83,28.5,-13.86,71.6,9.17
488,Havre-Saint-Pierre,90,CA,1562984343,93,50.23,-63.6,57.2,9.17
489,Tiarei,75,PF,1562984344,83,-17.53,-149.33,77.0,10.29
490,Broken Hill,0,AU,1562984344,50,-31.97,141.45,51.8,23.04
491,Evensk,0,RU,1562984344,51,61.92,159.24,69.38,7.96
492,Great Yarmouth,93,GB,1562984344,87,52.61,1.73,61.0,4.7
493,Nove Hrady,100,CZ,1562984345,92,48.79,14.78,57.99,3.0
494,Kaffrine,100,SN,1562984345,71,14.1,-15.55,76.4,6.58
495,Torres,97,BR,1562984345,89,-29.34,-49.73,62.54,2.66
496,Saint-Pierre,0,FR,1562984345,87,48.95,4.24,57.2,4.7
497,Saquarema,0,BR,1562984345,94,-22.93,-42.51,69.8,3.36
498,Manjeshwar,40,IN,1562984346,88,12.72,74.89,75.2,5.5
499,Gwadar,77,PK,1562984346,80,25.12,62.33,83.6,6.35
500,Worthington,1,US,1562984346,94,43.62,-95.6,82.4,5.82
501,Neiafu,75,TO,1562984346,73,-18.65,-173.98,77.0,9.17
502,Mega,100,ET,1562984346,70,4.06,38.32,67.76,15.32
503,Port Macquarie,40,AU,1562984346,29,-31.43,152.91,71.01,19.46
504,Iaciara,0,BR,1562984347,48,-14.1,-46.63,67.04,2.33
505,Honolulu,40,US,1562984347,46,21.3,-157.86,89.6,12.75
506,Cabedelo,20,BR,1562984347,94,-6.97,-34.84,73.4,3.36
507,Kushima,75,JP,1562984347,88,31.5,131.29,71.01,6.93
508,Tilichiki,26,RU,1562984348,66,60.47,166.1,59.66,8.79
509,Kavaratti,2,IN,1562984348,77,10.57,72.64,83.24,11.77
510,Oistins,75,BB,1562984348,83,13.07,-59.53,80.6,14.99
511,Rio Grande,27,BR,1562984297,96,-32.03,-52.1,59.3,5.32
512,San Pedro,0,AR,1562984209,89,-33.68,-59.66,48.0,6.91
513,Santa Marta,40,CO,1562984258,58,11.24,-74.21,87.8,8.05
514,Bontang,100,ID,1562984349,91,0.12,117.47,79.28,4.81
515,Lerwick,100,GB,1562984349,76,60.15,-1.15,51.8,8.05
516,Borculo,90,NL,1562984349,93,52.11,6.52,62.01,5.82
517,Xique-Xique,0,BR,1562984349,59,-10.82,-42.73,76.94,17.34
518,Ignacio Zaragoza,90,MX,1562984350,68,20.02,-99.32,64.4,11.41
519,Pontal do Parana,0,BR,1562984350,81,-25.67,-48.51,66.0,3.36
520,Biltine,5,TD,1562984350,56,14.53,20.93,82.16,11.65
521,Isla Vista,1,US,1562984350,77,34.41,-119.86,87.01,3.22
522,Alofi,90,NU,1562984351,94,-19.06,-169.92,71.6,10.29
523,Murgab,0,TM,1562984351,42,37.5,61.97,82.4,6.93
524,Kibre Mengist,100,ET,1562984351,98,5.87,38.99,53.54,1.59
525,Kaduqli,100,SD,1562984351,88,11.01,29.72,71.18,3.31
526,Shubarshi,57,KZ,1562984351,19,48.59,57.19,89.36,15.55
527,Palauig,0,PH,1562984352,65,15.44,119.9,84.86,3.74
528,Sula,94,UA,1562984352,92,50.81,34.53,52.82,5.23
529,Carutapera,23,BR,1562984352,95,-1.2,-46.02,73.88,4.74
530,Anaconda,90,US,1562984352,30,46.13,-112.94,80.6,6.93
531,North Bend,90,US,1562984169,88,43.41,-124.22,64.0,6.93
532,Moses Lake,1,US,1562984277,23,47.13,-119.28,86.0,6.93
533,Bone,75,DE,1562984353,93,51.97,12.14,61.0,8.05
534,Riyadh,0,SA,1562984353,12,24.63,46.72,84.2,5.82
535,Birjand,0,IR,1562984353,21,32.86,59.22,69.8,6.93
536,Chipata,0,ZM,1562984353,71,-13.64,32.65,51.74,3.89
537,Pavlodar,0,KZ,1562984353,68,52.28,76.96,66.2,11.18
538,Mao,20,DO,1562984354,78,19.55,-71.08,82.4,4.7
539,Tabuk,0,PH,1562984354,57,17.41,121.44,81.26,5.39
540,Gizo,40,IL,1562984354,83,31.8,34.94,77.0,5.82
541,Moroleon,75,MX,1562984354,60,20.13,-101.2,69.8,8.05
542,Tazovskiy,100,RU,1562984355,83,67.47,78.7,45.62,16.04
543,Kyotera,100,UG,1562984355,85,-0.63,31.54,64.52,8.97
544,Manjacaze,100,MZ,1562984355,73,-24.71,33.88,69.56,7.14
545,San,74,ML,1562984355,52,13.3,-4.9,81.62,6.11
546,Linxia,0,CN,1562984355,47,35.6,103.21,67.4,4.68
547,Cairns,37,AU,1562984356,57,-16.92,145.77,80.01,12.75
